dteday,hr,temp_c,feels_like_c,hum,windspeed,weathersit,season,holiday,workingday
11/1/2023,0.0,6,3.8,0.6359,10.8,1,4,0,1
11/1/2023,1.0,6,3.4,0.6333,12.7,1,4,0,1
11/1/2023,2.0,5.3,2.6,0.6598,12,1,4,0,1
11/1/2023,3.0,5.1,3.8,0.6636,6.3,1,4,0,1
11/1/2023,4.0,4,1.8,0.7192000000000001,8.4,1,4,0,1
11/1/2023,5.0,4.5,1.3,0.6689,14.2,1,4,0,1
11/1/2023,6.0,6.5,3.1,0.5875,18.4,2,4,0,1
11/1/2023,7.0,6.5,2.5,0.5971,25.1,2,4,0,1
11/1/2023,8.0,6,1.8,0.5728,24.8,1,4,0,1
11/1/2023,9.0,5.5,1.4,0.4891,22.7,1,4,0,1
11/1/2023,10.0,5.5,0.7,0.4633,29.5,1,4,0,1
11/1/2023,11.0,6.9,2.9,0.4364,26.2,1,4,0,1
11/1/2023,12.0,7.7,3.5,0.3826,31.8,1,4,0,1
11/1/2023,13.0,9.1,5.5,0.379,29,1,4,0,1
11/1/2023,14.0,9.8,6.5,0.3759,27.1,1,4,0,1
11/1/2023,15.0,9.8,6.2,0.36460000000000004,32.2,1,4,0,1
11/1/2023,16.0,9.8,6.1,0.3795,33.4,1,4,0,1
11/1/2023,17.0,8.7,4.8,0.39280000000000004,31.5,1,4,0,1
11/1/2023,18.0,7.7,3.3,0.4023,34.7,1,4,0,1
11/1/2023,19.0,6.9,4.1,0.4482,14.9,1,4,0,1
11/1/2023,20.0,6.4,3.3,0.44170000000000004,15.8,1,4,0,1
11/1/2023,21.0,5.9,3.6,0.4693,11,1,4,0,1
11/1/2023,22.0,5.4,2.8,0.4548,11.5,1,4,0,1
11/1/2023,23.0,4.6,2.3,0.5038,9.4,1,4,0,1
11/2/2023,0.0,4.6,1.4,0.5032,14.1,1,4,0,1
11/2/2023,1.0,4.1,0.2,0.5417000000000001,17.5,1,4,0,1
11/2/2023,2.0,4,0.2,0.5629,17,1,4,0,1
11/2/2023,3.0,2.6,-0.9,0.6219,13.4,1,4,0,1
11/2/2023,4.0,2.9,-0.7,0.612,14.9,1,4,0,1
11/2/2023,5.0,2.4,-0.5,0.6329,10.2,1,4,0,1
11/2/2023,6.0,1.8,-0.2,0.6616,6.7,1,4,0,1
11/2/2023,7.0,0.6,-2.7,0.6981,10.8,1,4,0,1
11/2/2023,8.0,2,2,0.6058,0,1,4,0,1
11/2/2023,9.0,4.4,2.8,0.5405,6.7,1,4,0,1
11/2/2023,10.0,6.5,4.6,0.45740000000000003,9.4,1,4,0,1
11/2/2023,11.0,8.3,6.4,0.4322,10.9,1,4,0,1
11/2/2023,12.0,9.3,7.2,0.3538,14.2,1,4,0,1
11/2/2023,13.0,9.9,8.6,0.3225,10.1,1,4,0,1
11/2/2023,14.0,10.1,10.1,0.2999,9.8,1,4,0,1
11/2/2023,15.0,11.1,11.1,0.2926,11,1,4,0,1
11/2/2023,16.0,11,11,0.3011,11.7,1,4,0,1
11/2/2023,17.0,10.5,10.5,0.2999,12.2,1,4,0,1
11/2/2023,18.0,8.8,7.3,0.3398,9.7,1,4,0,1
11/2/2023,19.0,8.1,6.9,0.3688,7.8,1,4,0,1
11/2/2023,20.0,7.4,5.3,0.4489,11.2,1,4,0,1
11/2/2023,21.0,6.8,4.8,0.5242,9.7,1,4,0,1
11/2/2023,22.0,6.3,3.4,0.5189,14.9,1,4,0,1
11/2/2023,23.0,6.7,3.5,0.6289,18,1,4,0,1
11/3/2023,0.0,5.2,2.3,0.7020000000000001,13.2,1,4,0,1
11/3/2023,1.0,4.8,1.5,0.728,14.7,1,4,0,1
11/3/2023,2.0,5.2,2,0.7333,14.6,1,4,0,1
11/3/2023,3.0,5.2,2.3,0.7356,12.9,1,4,0,1
11/3/2023,4.0,4.7,1.7,0.7831999999999999,13.1,1,4,0,1
11/3/2023,5.0,3.6,1,0.8165,9.9,1,4,0,1
11/3/2023,6.0,2.7,0,0.8442000000000001,9.7,1,4,0,1
11/3/2023,7.0,3,1.8,0.8425,5.1,1,4,0,1
11/3/2023,8.0,3,1.1,0.8193,6.9,1,4,0,1
11/3/2023,9.0,5,3.5,0.8064,6.9,1,4,0,1
11/3/2023,10.0,7.2,4.9,0.6977,12.5,1,4,0,1
11/3/2023,11.0,9.5,7.4,0.5718,14.1,1,4,0,1
11/3/2023,12.0,12.2,12.2,0.4229,19.7,1,4,0,1
11/3/2023,13.0,13.7,13.7,0.3538,19.1,1,4,0,1
11/3/2023,14.0,14.9,14.9,0.32689999999999997,17.1,1,4,0,1
11/3/2023,15.0,15.5,15.5,0.3054,14.5,1,4,0,1
11/3/2023,16.0,15.5,15.5,0.33740000000000003,13.8,1,4,0,1
11/3/2023,17.0,14.8,14.8,0.3837,14.5,1,4,0,1
11/3/2023,18.0,13.1,13.1,0.3628,13.7,1,4,0,1
11/3/2023,19.0,11.5,11.5,0.46990000000000004,12.5,1,4,0,1
11/3/2023,20.0,10.8,10.8,0.49060000000000004,8.6,1,4,0,1
11/3/2023,21.0,9.2,7.6,0.5861,10.2,1,4,0,1
11/3/2023,22.0,9.1,7.5,0.6396999999999999,10.1,1,4,0,1
11/3/2023,23.0,8.1,6.6,0.6842,8.7,1,4,0,1
11/4/2023,0.0,7.7,5.6,0.7292000000000001,11.4,1,4,0,0
11/4/2023,1.0,7.5,5.6,0.7347,10.4,1,4,0,0
11/4/2023,2.0,7.5,5.1,0.7583,13.4,1,4,0,0
11/4/2023,3.0,6.4,6.4,0.7913,4.5,1,4,0,0
11/4/2023,4.0,6.3,5.5,0.7957,5.1,1,4,0,0
11/4/2023,5.0,5.3,4.4,0.847,4.9,1,4,0,0
11/4/2023,6.0,5.6,5.6,0.8422,0,1,4,0,0
11/4/2023,7.0,5,5,0.8475,0,1,4,0,0
11/4/2023,8.0,4.2,4.2,0.8797,4.5,1,4,0,0
11/4/2023,9.0,7,7,0.7695000000000001,4.5,1,4,0,0
11/4/2023,10.0,10.5,10.5,0.5211,0,1,4,0,0
11/4/2023,11.0,12,12,0.48969999999999997,4.5,1,4,0,0
11/4/2023,12.0,14.7,14.7,0.455,0,1,4,0,0
11/4/2023,13.0,17.4,17.4,0.37200000000000005,7.4,1,4,0,0
11/4/2023,14.0,19.4,19.4,0.2731,8.7,1,4,0,0
11/4/2023,15.0,20.5,20.5,0.1868,0.8,1,4,0,0
11/4/2023,16.0,20.5,20.5,0.22329999999999997,7.6,1,4,0,0
11/4/2023,17.0,18.7,18.7,0.2581,11.6,1,4,0,0
11/4/2023,18.0,16.6,16.6,0.4426,9.7,1,4,0,0
11/4/2023,19.0,15.7,15.7,0.4789,8.4,1,4,0,0
11/4/2023,20.0,14.8,14.8,0.5262,6.3,1,4,0,0
11/4/2023,21.0,14.3,14.3,0.5486,0,1,4,0,0
11/4/2023,22.0,12.5,12.5,0.7403,0,1,4,0,0
11/4/2023,23.0,10.9,10.9,0.7770999999999999,6.3,1,4,0,0
11/5/2023,0.0,10.1,10.1,0.6881,0,1,4,0,0
11/5/2023,1.0,8.4,8.4,0.7153,0,1,4,0,0
11/5/2023,1.0,8.4,8.4,0.7153,0,1,4,0,0
11/5/2023,2.0,7.7,7.7,0.7741,0,1,4,0,0
11/5/2023,3.0,8,8,0.7345,0,1,4,0,0
11/5/2023,4.0,7.1,7.1,0.7839,0,1,4,0,0
11/5/2023,5.0,7.1,7.1,0.7853,0,1,4,0,0
11/5/2023,6.0,7,7,0.8078,0,1,4,0,0
11/5/2023,7.0,6.1,6.1,0.8414,0,1,4,0,0
11/5/2023,8.0,8.1,8.1,0.7867000000000001,0,1,4,0,0
11/5/2023,9.0,11.2,11.2,0.7206,4.5,1,4,0,0
11/5/2023,10.0,14.5,14.5,0.5838,8.9,1,4,0,0
11/5/2023,11.0,18.3,18.3,0.4585,6.8,1,4,0,0
11/5/2023,12.0,20.7,20.7,0.3554,2.7,1,4,0,0
11/5/2023,13.0,22,22,0.3293,16.9,1,4,0,0
11/5/2023,14.0,22,22,0.31579999999999997,13.6,1,4,0,0
11/5/2023,15.0,22,22,0.3139,16.4,1,4,0,0
11/5/2023,16.0,21,21,0.3337,19.7,1,4,0,0
11/5/2023,17.0,19.2,19.2,0.3611,12.7,1,4,0,0
11/5/2023,18.0,16.3,16.3,0.43310000000000004,11.6,1,4,0,0
11/5/2023,19.0,15.6,15.6,0.45530000000000004,13.2,1,4,0,0
11/5/2023,20.0,15,15,0.4757,14.2,1,4,0,0
11/5/2023,21.0,14,14,0.505,13.1,1,4,0,0
11/5/2023,22.0,11.2,11.2,0.6466,9.7,1,4,0,0
11/5/2023,23.0,12.1,12.1,0.5716,10.1,1,4,0,0
11/6/2023,0.0,11.3,11.3,0.6654000000000001,0.8,1,4,0,1
11/6/2023,1.0,10.5,10.5,0.655,5.3,1,4,0,1
11/6/2023,2.0,10.1,10.1,0.695,8.2,1,4,0,1
11/6/2023,3.0,10.2,10.2,0.6494,8.6,1,4,0,1
11/6/2023,4.0,10.1,10.1,0.6727,11.7,2,4,0,1
11/6/2023,5.0,9,6.9,0.6812,13.2,1,4,0,1
11/6/2023,6.0,8.2,5.9,0.6631999999999999,13.5,1,4,0,1
11/6/2023,7.0,8.2,6.5,0.6631,9.9,1,4,0,1
11/6/2023,8.0,9.5,8.1,0.6591,9.9,1,4,0,1
11/6/2023,9.0,11,11,0.5909,10.2,1,4,0,1
11/6/2023,10.0,12.7,12.7,0.532,6.7,1,4,0,1
11/6/2023,11.0,14.3,14.3,0.4888,0,1,4,0,1
11/6/2023,12.0,16.2,16.2,0.4757,0,1,4,0,1
11/6/2023,13.0,17.2,17.2,0.48200000000000004,0,1,4,0,1
11/6/2023,14.0,17.9,17.9,0.4804,5.4,1,4,0,1
11/6/2023,15.0,18.4,18.4,0.4642,6.3,1,4,0,1
11/6/2023,16.0,18.1,18.1,0.49579999999999996,12.5,1,4,0,1
11/6/2023,17.0,16.4,16.4,0.6037,11.9,1,4,0,1
11/6/2023,18.0,15.1,15.1,0.6740999999999999,7.1,1,4,0,1
11/6/2023,19.0,13.7,13.7,0.7178,8.2,1,4,0,1
11/6/2023,20.0,13.7,13.7,0.7739,8.7,1,4,0,1
11/6/2023,21.0,13.8,13.8,0.8026000000000001,12.2,1,4,0,1
11/6/2023,22.0,13.3,13.3,0.8316,11.9,1,4,0,1
11/6/2023,23.0,13.2,13.2,0.8601000000000001,10.4,1,4,0,1
11/7/2023,0.0,12.8,12.8,0.86,10.4,1,4,0,1
11/7/2023,1.0,12.9,12.9,0.8534,12,1,4,0,1
11/7/2023,2.0,12.9,12.9,0.8114,15.5,1,4,0,1
11/7/2023,3.0,13.4,13.4,0.7587,11,1,4,0,1
11/7/2023,4.0,13.4,13.4,0.7343000000000001,12,1,4,0,1
11/7/2023,5.0,13.4,13.4,0.7120000000000001,12.2,1,4,0,1
11/7/2023,6.0,13.4,13.4,0.7112,13.7,1,4,0,1
11/7/2023,7.0,13.9,13.9,0.6908,11.7,2,4,0,1
11/7/2023,8.0,14.2,14.2,0.6833,10.4,1,4,0,1
11/7/2023,9.0,15.6,15.6,0.6335999999999999,8,2,4,0,1
11/7/2023,10.0,16.8,16.8,0.6065999999999999,10.8,1,4,0,1
11/7/2023,11.0,18.9,18.9,0.519,7.6,1,4,0,1
11/7/2023,12.0,20.1,20.1,0.4997,10.4,2,4,0,1
11/7/2023,13.0,21.7,21.7,0.45130000000000003,9.5,1,4,0,1
11/7/2023,14.0,22,22,0.496,10.1,1,4,0,1
11/7/2023,15.0,22.4,22.4,0.47229999999999994,8.9,1,4,0,1
11/7/2023,16.0,22.5,22.5,0.4986,11,1,4,0,1
11/7/2023,17.0,21.1,21.1,0.5287,10.1,1,4,0,1
11/7/2023,18.0,22.2,22.2,0.4794,11.7,1,4,0,1
11/7/2023,19.0,22,22,0.3611,19.2,1,4,0,1
11/7/2023,20.0,21.3,21.3,0.3251,16.7,1,4,0,1
11/7/2023,21.0,18.2,18.2,0.34600000000000003,14.2,1,4,0,1
11/7/2023,22.0,16.1,16.1,0.3926,13.7,1,4,0,1
11/7/2023,23.0,16.4,16.4,0.3898,12.2,1,4,0,1
11/8/2023,0.0,13.5,13.5,0.6271,8.6,1,4,0,1
11/8/2023,1.0,13.2,13.2,0.5619,12.7,1,4,0,1
11/8/2023,2.0,12.2,12.2,0.7161,10.7,1,4,0,1
11/8/2023,3.0,11.7,11.7,0.6563,15,1,4,0,1
11/8/2023,4.0,11.4,11.4,0.6701,13.2,1,4,0,1
11/8/2023,5.0,11.2,11.2,0.6579,11.9,1,4,0,1
11/8/2023,6.0,10.4,10.4,0.6613,15,1,4,0,1
11/8/2023,7.0,9.1,7,0.7173,13.8,1,4,0,1
11/8/2023,8.0,11.5,11.5,0.6196,17.4,1,4,0,1
11/8/2023,9.0,13.1,13.1,0.5343,20,1,4,0,1
11/8/2023,10.0,14.2,14.2,0.4959,10.7,1,4,0,1
11/8/2023,11.0,15,15,0.4561,5.3,1,4,0,1
11/8/2023,12.0,15.6,15.6,0.4347,8.4,1,4,0,1
11/8/2023,13.0,16.8,16.8,0.40149999999999997,4.5,1,4,0,1
11/8/2023,14.0,17.2,17.2,0.35719999999999996,0.6,1,4,0,1
11/8/2023,15.0,18.6,18.6,0.3236,5.1,1,4,0,1
11/8/2023,16.0,17.6,17.6,0.37479999999999997,1.4,1,4,0,1
11/8/2023,17.0,15.3,15.3,0.5166,18,1,4,0,1
11/8/2023,18.0,13.2,13.2,0.5644,14.7,1,4,0,1
11/8/2023,19.0,11.9,11.9,0.5782,9,1,4,0,1
11/8/2023,20.0,11.7,11.7,0.5508,5.1,1,4,0,1
11/8/2023,21.0,11.1,11.1,0.589,5.1,1,4,0,1
11/8/2023,22.0,11,11,0.6149,1.1,1,4,0,1
11/8/2023,23.0,11.1,11.1,0.7045,8.7,1,4,0,1
11/9/2023,0.0,10.5,10.5,0.7801,6.9,1,4,0,1
11/9/2023,1.0,10.5,10.5,0.8181999999999999,4.9,1,4,0,1
11/9/2023,2.0,9.5,8.1,0.8247,9.3,1,4,0,1
11/9/2023,3.0,10.8,10.8,0.8586,13.2,2,4,0,1
11/9/2023,4.0,12,12,0.8751000000000001,16.2,1,4,0,1
11/9/2023,5.0,12.6,12.6,0.8464,17.6,1,4,0,1
11/9/2023,6.0,11.8,11.8,0.8837,13.4,1,4,0,1
11/9/2023,7.0,11.7,11.7,0.8532,11.6,1,4,0,1
11/9/2023,8.0,12.1,12.1,0.8440000000000001,8.7,1,4,0,1
11/9/2023,9.0,13.9,13.9,0.7777,12.7,1,4,0,1
11/9/2023,10.0,16.2,16.2,0.698,10.8,1,4,0,1
11/9/2023,11.0,18,18,0.6396000000000001,12.8,1,4,0,1
11/9/2023,12.0,19.5,19.5,0.5861999999999999,14.8,1,4,0,1
11/9/2023,13.0,20.9,20.9,0.5385,14.3,1,4,0,1
11/9/2023,14.0,23,23,0.5075,12.2,1,4,0,1
11/9/2023,15.0,22.8,22.8,0.5015999999999999,10.5,1,4,0,1
11/9/2023,16.0,23.1,23.1,0.526,15,1,4,0,1
11/9/2023,17.0,19.3,19.3,0.7741,14.5,3,4,0,1
11/9/2023,18.0,17.7,17.7,0.857,5.1,3,4,0,1
11/9/2023,19.0,18.1,18.1,0.7742,10.5,1,4,0,1
11/9/2023,20.0,17.2,17.2,0.7452,11.3,1,4,0,1
11/9/2023,21.0,16.2,16.2,0.5897,14.2,1,4,0,1
11/9/2023,22.0,16,16,0.5254,19.3,1,4,0,1
11/9/2023,23.0,15.5,15.5,0.48350000000000004,20.6,1,4,0,1
11/10/2023,0.0,14.3,14.3,0.4953,17.8,2,4,1,0
11/10/2023,1.0,13.8,13.8,0.4781,19.5,2,4,1,0
11/10/2023,2.0,13.7,13.7,0.4499,14.9,2,4,1,0
11/10/2023,3.0,12.1,12.1,0.5737,11.8,2,4,1,0
11/10/2023,4.0,12.1,12.1,0.5516,5.4,2,4,1,0
11/10/2023,5.0,12.1,12.1,0.5825,6.5,2,4,1,0
11/10/2023,6.0,12.4,12.4,0.5648,4.7,2,4,1,0
11/10/2023,7.0,11.8,11.8,0.6361,7.8,2,4,1,0
11/10/2023,8.0,11.4,11.4,0.6920000000000001,6.3,3,4,1,0
11/10/2023,9.0,11,11,0.7284,14.2,3,4,1,0
11/10/2023,10.0,9.8,7.5,0.8120999999999999,16.8,3,4,1,0
11/10/2023,11.0,9.1,7.3,0.8225,12,3,4,1,0
11/10/2023,12.0,8.7,6.1,0.8375,17.4,2,4,1,0
11/10/2023,13.0,8.2,5.5,0.8676999999999999,16.4,2,4,1,0
11/10/2023,14.0,7.4,6.8,0.8531,4.9,3,4,1,0
11/10/2023,15.0,7.7,6.2,0.8706999999999999,8.8,3,4,1,0
11/10/2023,16.0,8.1,6.7,0.8748999999999999,8.4,2,4,1,0
11/10/2023,17.0,8.2,6.3,0.8517,10.5,1,4,1,0
11/10/2023,18.0,7.7,5.8,0.8773000000000001,10.5,1,4,1,0
11/10/2023,19.0,7,6.2,0.8465,5.4,1,4,1,0
11/10/2023,20.0,6.4,5.1,0.8675,7,1,4,1,0
11/10/2023,21.0,6.2,5.4,0.8729,5.1,1,4,1,0
11/10/2023,22.0,5.7,3.8,0.8969,8.8,1,4,1,0
11/10/2023,23.0,5.6,4.7,0.8694,5.4,1,4,1,0
11/11/2023,0.0,5.5,5.5,0.9007,0.7,1,4,0,0
11/11/2023,1.0,5.5,5.5,0.9007,0.8,1,4,0,0
11/11/2023,2.0,4.9,3.6,0.9256,6.3,1,4,0,0
11/11/2023,3.0,4.4,4.4,0.9343,0,1,4,0,0
11/11/2023,4.0,4.3,4.3,0.9072,4.5,1,4,0,0
11/11/2023,5.0,3.9,2.8,0.9415,5.1,1,4,0,0
11/11/2023,6.0,3.8,2,0.9422,6.9,1,4,0,0
11/11/2023,7.0,3.3,1.5,0.9057,6.9,1,4,0,0
11/11/2023,8.0,5,3.7,0.8737999999999999,6.3,1,4,0,0
11/11/2023,9.0,6.8,6.8,0.8237000000000001,0,1,4,0,0
11/11/2023,10.0,8.3,6.4,0.7602,11.2,1,4,0,0
11/11/2023,11.0,11.7,11.7,0.6631999999999999,16.3,1,4,0,0
11/11/2023,12.0,13.3,13.3,0.5943999999999999,12.8,1,4,0,0
11/11/2023,13.0,14.9,14.9,0.46,7.2,1,4,0,0
11/11/2023,14.0,14.3,14.3,0.45990000000000003,7.5,1,4,0,0
11/11/2023,15.0,15.5,15.5,0.3909,7.6,1,4,0,0
11/11/2023,16.0,14.8,14.8,0.3944,9,1,4,0,0
11/11/2023,17.0,13.2,13.2,0.4241,12.5,1,4,0,0
11/11/2023,18.0,12.2,12.2,0.4307,11.2,1,4,0,0
11/11/2023,19.0,11.2,11.2,0.5015,0,1,4,0,0
11/11/2023,20.0,10,10,0.6559,5.4,1,4,0,0
11/11/2023,21.0,8.4,8.4,0.7006999999999999,0,1,4,0,0
11/11/2023,22.0,8.8,8.8,0.6843,0,1,4,0,0
11/11/2023,23.0,6.9,6.3,0.7794,4.9,1,4,0,0
11/12/2023,0.0,6.4,5.8,0.8040999999999999,4.9,1,4,0,0
11/12/2023,1.0,4.8,3.6,0.8306,5.6,1,4,0,0
11/12/2023,2.0,4.9,2.6,0.8626,9.4,1,4,0,0
11/12/2023,3.0,6.5,3.9,0.8231,12.8,1,4,0,0
11/12/2023,4.0,6.1,4,0.8197,9.7,2,4,0,0
11/12/2023,5.0,6.5,4.5,0.7345999999999999,9.9,2,4,0,0
11/12/2023,6.0,6.6,3.7,0.7018000000000001,14.8,2,4,0,0
11/12/2023,7.0,6,2.9,0.6775,16.2,2,4,0,0
11/12/2023,8.0,6,3.1,0.647,14.6,2,4,0,0
11/12/2023,9.0,7.1,3.7,0.6305,20,2,4,0,0
11/12/2023,10.0,7.8,4.9,0.5766,17.7,1,4,0,0
11/12/2023,11.0,8.7,6.2,0.5033,16.2,2,4,0,0
11/12/2023,12.0,9.2,7.5,0.46799999999999997,11.2,2,4,0,0
11/12/2023,13.0,9.9,9.9,0.4475,0.5,1,4,0,0
11/12/2023,14.0,10.5,10.5,0.4425,7.6,1,4,0,0
11/12/2023,15.0,11.4,11.4,0.4157,0,1,4,0,0
11/12/2023,16.0,10.9,10.9,0.43060000000000004,0,1,4,0,0
11/12/2023,17.0,9.1,8.2,0.5044,6.8,1,4,0,0
11/12/2023,18.0,8.4,7.4,0.5547,6.8,1,4,0,0
11/12/2023,19.0,8,6.9,0.6132,6.8,1,4,0,0
11/12/2023,20.0,5.8,5,0.6916,4.9,1,4,0,0
11/12/2023,21.0,6.7,6.7,0.6492,0,1,4,0,0
11/12/2023,22.0,5.7,4.9,0.7216,4.9,1,4,0,0
11/12/2023,23.0,5.6,4.8,0.7476999999999999,4.9,1,4,0,0
11/13/2023,0.0,4,3,0.8084,4.9,1,4,0,1
11/13/2023,1.0,3.9,0.1,0.8312999999999999,17.5,1,4,0,1
11/13/2023,2.0,3.1,0.7,0.7915000000000001,9,1,4,0,1
11/13/2023,3.0,2.6,0,0.7595999999999999,9.2,1,4,0,1
11/13/2023,4.0,1.7,-1.1,0.7818,9.3,1,4,0,1
11/13/2023,5.0,2.1,0.1,0.7511,6.9,1,4,0,1
11/13/2023,6.0,1.6,0.3,0.8073999999999999,4.9,1,4,0,1
